id,order_number,portal,total_amount,created_at
26f8cd4b-32ce-4b38-8c45-3c5b196f578b,"40957030MFN29C652A",firstcry,0,2026-05-15T12:48:45.714042+00:00
c4b77c90-02e2-4e41-8736-2d63331262cb,"MSH-1779634694420-jf0f",meesho,0,2026-05-24T14:58:14.42+00:00
f3d0f6fe-b61f-4ec0-ba87-6f272d3206ad,"11484942UJLA47428A",firstcry,0,2026-05-15T12:48:45.646024+00:00
58d91dea-b5cd-4bd5-85a8-f630c25a8ec3,"40807568IXM337FF3D",firstcry,0,2026-05-15T12:48:45.894407+00:00
996fda0d-fdb1-42e6-9600-b82d4152b323,"39881331ENX9005727",firstcry,0,2026-05-15T12:48:44.309848+00:00
cbaa2ed3-e792-4a26-bce7-952042031871,"MSH-1779634694811-s9c9",meesho,0,2026-05-24T14:58:14.811+00:00
f9f6a3ff-2cf4-4822-ae50-89b1ff870ef2,"MSH-1779634694811-dq0b",meesho,0,2026-05-24T14:58:14.811+00:00
81b58e13-7331-46b9-ba4a-8533c4e10431,"MSH-1779634694811-wygh",meesho,0,2026-05-24T14:58:14.811+00:00
656ff1ff-4a6c-40e2-aeb1-8b2d4ab87a2c,"40517019WDJ595A4B1",firstcry,0,2026-05-15T12:48:44.956256+00:00
ff72cef2-e9eb-46ec-b61a-2e87a3374858,"MSH-1779634694811-evjk",meesho,0,2026-05-24T14:58:14.811+00:00
89ecfe8f-238a-4d30-9e4e-134808ca0d11,"39436518HFH5B590F0",firstcry,0,2026-05-15T12:48:43.296621+00:00
83c37085-89c9-43e8-932e-167c496e359f,"2884775ACU4144641",firstcry,0,2026-05-15T12:48:44.498849+00:00
4efa2b8b-2d18-4456-9be9-bc81b36b6d76,"MSH-1779634694811-v9g2",meesho,0,2026-05-24T14:58:14.811+00:00
c16cb7c5-4fc4-46ae-a16e-96bf88bbc12f,"MSH-1779634694811-5w6e",meesho,0,2026-05-24T14:58:14.811+00:00
a3bffcd1-6193-48e6-b9f2-aec9b2886315,"MSH-1779634694811-tizt",meesho,0,2026-05-24T14:58:14.811+00:00
8510eedb-0995-462e-8c50-e8575c6f080d,"MSH-1779634694811-efo0",meesho,0,2026-05-24T14:58:14.811+00:00
4ae9901c-2e5b-4715-b6fc-c3e260a8fa34,"MSH-1779634694811-z0ay",meesho,0,2026-05-24T14:58:14.811+00:00
a0a253d9-e0b9-4af9-8b96-e80b0d54eea9,"MSH-1779634694811-kgu7",meesho,0,2026-05-24T14:58:14.811+00:00
1ca8f13e-6a15-4e95-8823-2ffbef76c243,"MSH-1779634694811-t3rm",meesho,0,2026-05-24T14:58:14.811+00:00
52856296-be04-49da-94e8-9a7144ea48d8,"MSH-1779634694811-ng1g",meesho,0,2026-05-24T14:58:14.811+00:00
91340eed-df2e-4c41-9c76-d35068f7a6c0,"MSH-1779634694811-dybm",meesho,0,2026-05-24T14:58:14.811+00:00
9b5f484e-096f-4ca5-9bb6-7181b21315ba,"MSH-1779634694811-psk6",meesho,0,2026-05-24T14:58:14.811+00:00
23fdb57c-5740-4db3-8d86-f6b915e4facb,"MSH-1779634694811-kyf9",meesho,0,2026-05-24T14:58:14.811+00:00
5dfd96e9-4533-4b26-96f1-32c0f4c0558e,"MSH-1779634694811-qbyc",meesho,0,2026-05-24T14:58:14.811+00:00
2c07e4bd-76c9-4c1a-badd-dffdc0b59f8a,"MSH-1779634694811-o55x",meesho,0,2026-05-24T14:58:14.811+00:00
f7725a17-dd7b-4ec1-9f8c-6147135c6f12,"MSH-1779634694811-0j0h",meesho,0,2026-05-24T14:58:14.811+00:00
e3293f55-31f4-47d7-be2c-3265b6851604,"MSH-1779634694811-i881",meesho,0,2026-05-24T14:58:14.811+00:00
