Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,11/01/2025,11/30/2025,B0DG5SW8HY,B0C8PTH3QF,,CRODA227-B,INR,668.428519,135,25,110,90237.85,73504.55,112.1,12.0,1345.2,,,,143.887377,146.0,21007.557,-47.232,20.0,-944.64,10.0,134.0,1340.0,4.605689,726.0,3343.73,,,42036.623,382.151118
IN,11/01/2025,11/30/2025,B0DG5SW8HY,B0C8PVTTRR,,CRODA227-P,INR,669.196667,108,15,93,72273.24,62225.65,112.1,6.0,672.6,127.44,1.0,127.44,143.96,121.0,17419.16,-54.46,16.0,-871.36,57.971296,108.0,6260.9,4.805418,574.0,2758.31,,,31525.64,338.985376
IN,11/01/2025,11/30/2025,B0DG5SW8HY,B0C8PQYQPX,,CRODS227,INR,286.346667,15,3,12,4295.2,3405.68,53.1,1.0,53.1,,,,66.500214,14.0,931.003,,,,0.0,1.0,0.0,4.33864,125.0,542.33,,,1767.147,147.26225
IN,11/01/2025,11/30/2025,B0DG5SW8HY,B0C8PQGSGX,,CRODSJH227-B,INR,1637.1475,8,2,6,13097.18,9708.6,153.4,1.0,153.4,,,,143.96,8.0,1151.68,-162.69,4.0,-650.76,314.4075,8.0,2515.26,,,,,,5925.42,987.57
IN,11/01/2025,11/30/2025,B0DG5SW8HY,B0C8PPB2DX,,CRODSJH227-P,INR,0.0,-1,0,-1,-1618.1,-1618.1,,,,,,,,,,,,,,,,,,,,,-1618.1,1618.1
IN,11/01/2025,11/30/2025,B0DG5SQL88,B01LCM4Q8G,,Double Wedge01,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,4.954444,18.0,89.18,,,-89.18,
IN,11/01/2025,11/30/2025,B0DG5SQL88,B073F79LQF,,Double Wedge02,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5RZRL3,B01AW2HPWG,,DUP-Back N Belly,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07NLG1JLL,B07NLG1JLL,,DUP-CBHMFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLGBSH9,,DUP-CBLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLH84FM,,DUP-CBLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
