Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B0D58LNSH1,,FPPNBPV,INR,760.0,2,0,2,1520.0,1520.0,40.12,2.0,80.24,105.02,2.0,210.04,,,,0.0,2.0,0.0,,,,,,1229.72,614.86
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B0721SCXNR,,FPR221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5T911J,B0DG5SMSD9,,J-Shaped-MP-Pink,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5RX3VV,B09XJ6FP3Y,,JV-W8QZ-PX4J,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5SQ1T1,B09XJ247R1,,K9-42EM-XX55,INR,1426.67,3,1,2,4280.01,2853.34,165.2,1.0,165.2,148.68,3.0,446.04,-194.44,1.0,-194.44,194.44,3.0,583.32,,,,,,1623.12,811.56
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B09XDWZ2J5,,MH-2ARK-4WLV,INR,560.0,2,0,2,1120.0,1120.0,26.55,2.0,53.1,105.02,2.0,210.04,,,,0.0,2.0,0.0,5.23,17.0,88.91,,,767.95,383.975
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B0C8K3Y73B,,MPRFP227-W,INR,691.971429,7,3,4,4843.8,2563.8,40.12,7.0,280.84,353.325714,7.0,2473.28,,,,0.0,7.0,0.0,5.38,12.0,64.56,,,-254.88,-63.72
IN,01/01/2026,01/31/2026,B0DG5S8ZBK,B0C8PPPDNS,,MPWedge227-W,INR,479.204194,31,8,23,14855.33,11061.02,88.5,3.0,265.5,124.26875,32.0,3976.6,,,,0.0,31.0,0.0,4.757368,19.0,90.39,,,6271.87,272.69
IN,01/01/2026,01/31/2026,B0DG5SQ1T1,B0DG91261M,,OPWNBF,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,01/01/2026,01/31/2026,B0DG5S6GRX,B07P27KVCX,,PBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
