Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,12/01/2025,12/31/2025,B09SYYGM1Q,B09SYYGM1Q,,Pink Heart Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B09SYYTB45,B09SYYTB45,,Pink Heart Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B0BXTBCCNC,,Pink_star,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B09SYZ8RF3,B09SYZ8RF3,,Pink Star Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B09SYZ34Z2,B09SYZ34Z2,,Pink Star Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLF1PDY,,PLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,2.580256,39.0,100.63,,,-100.63,
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLGFCSM,,PLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,3.0,1.0,3.0,,,-3.0,
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLFGFBV,,PLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S8ZBK,B09WLF9LY8,,PMW227,INR,479.806988,83,16,67,39823.98,32106.8,87.138462,13.0,1132.8,76.7,84.0,6442.8,-58.88,1.0,-58.88,0.0,84.0,0.0,4.931321,53.0,261.36,,,23075.56,344.411343
IN,12/01/2025,12/31/2025,B09WLF2CQ3,B09WLF2CQ3,,POW227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SFDJY,B07P3JZXR9,,PPELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLGWFPN,,PPLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLHP754,,PPLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLFN31B,,PPLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,3.0,1.0,3.0,,,-3.0,
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07NY3L66L,,ppRFP221,INR,645.71,1,0,1,645.71,645.71,40.12,1.0,40.12,143.96,1.0,143.96,,,,0.0,1.0,0.0,2.934,10.0,29.34,,,432.29,432.29
IN,12/01/2025,12/31/2025,B07NLFJP55,B07NLFJP55,,PPRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07NY3MQH1,,PPWFFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,3.0,1.0,3.0,,,-3.0,
IN,12/01/2025,12/31/2025,B0DG5S8ZBK,B09WLDWSVQ,,PRBW227,INR,477.194737,19,1,18,9066.7,8591.46,82.6,1.0,82.6,76.7,20.0,1534.0,,,,0.0,19.0,0.0,4.996,50.0,249.8,,,6451.3,358.405556
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07NZ293RN,,PRFP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,3.0,1.0,3.0,,,-3.0,
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07P13KR4W,,PRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07NLFLSK6,B07NLFLSK6,,PRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07P13S8H6,,RBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SFDJY,B07P3JTBCL,,RELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG8ZQHXX,B0DG915VM4,,RFPH227,INR,474.285,2,0,2,948.57,948.57,12.98,2.0,25.96,100.3,2.0,200.6,,,,0.0,2.0,0.0,,,,,,722.01,361.005
IN,12/01/2025,12/31/2025,B0DG8ZQHXX,B0DG9242TL,,RFPNB227,INR,474.286667,3,1,2,1422.86,948.58,12.98,3.0,38.94,100.3,4.0,401.2,,,,0.0,3.0,0.0,,,,,,508.44,254.22
IN,12/01/2025,12/31/2025,B0DG8ZQHXX,B0DG91VRLR,,RFPYG,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLFKVKV,,RLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLFYVQL,,RLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLGYK66,,RLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,2.8328,25.0,70.82,,,-70.82,
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B0C8L13H6Z,,RPRFP227-P,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0C8PPY8YB,B0C8PPY8YB,,RPWedge227-P,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07NY3LW9C,,RRFP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07NLGFP7L,B07NLGFP7L,,RRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07NLG7DV5,B07NLG7DV5,,RRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B071XC7S5K,,SKU22179,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07K6FP4J9,B07NJ73QQQ,,VFF227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,2.5675,4.0,10.27,,,-10.27,
IN,12/01/2025,12/31/2025,B0DG5SQ1T1,B09XJ4KLB8,,Wedge05,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B09WMQHDM1,B01LCM4NB6,,Wedgeo1,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SQ1T1,B07S95D5PS,,Wedgeo4,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG92CN43,B0DG91SBMG,,WNBF,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B09SL1M2SJ,B09SL1M2SJ,,WPBS2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B09SKQB2DV,B09SKQB2DV,,WPHB2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S8ZBK,B09SKC66LQ,,WPHP2277,INR,487.938333,6,1,5,2927.63,2452.39,82.6,1.0,82.6,76.7,7.0,536.9,,,,0.0,1.0,0.0,,,,,,1727.87,345.574
IN,12/01/2025,12/31/2025,B0DG5S8ZBK,B09SLJRMMM,,WPPS2277,INR,475.24,5,2,3,2376.2,1425.72,82.6,2.0,165.2,76.7,5.0,383.5,,,,0.0,5.0,0.0,,,,,,812.12,270.706667
